str_yes|Si.
str_moria_rank_2|Ratto dei tunnel
str_moria_rank_3|Foraggiatore di Caverna
str_moria_rank_4|Ladro delle miniere
str_moria_rank_5|Spogliatore di sale
str_moria_rank_6|Piaga dei Nani
str_moria_rank_7|Condottiero Goblin
str_moria_rank_8|Goblin Capo
str_moria_rank_9|Terrore dal profondo
str_guldur_rank_0|Verme
str_guldur_rank_1|Snaga
str_guldur_rank_2|Traditore di Gorgoroth
str_guldur_rank_3|Sentinella di Cirith Ungol
str_guldur_rank_4|schiavista di Udùn
str_guldur_rank_5|Saccheggiatore di Durthang
str_guldur_rank_6|Guardiano di Morannon
str_guldur_rank_7|Capitano di Minas Morgul
str_guldur_rank_8|Comandante di Barad-dûr
str_guldur_rank_9|Flagello dell' Umanità
str_gundabad_rank_0|Escremento
str_gundabad_rank_1|Snaga
str_gundabad_rank_2|Topo dei tunnel
str_gundabad_rank_3|Foraggiatore di Caverna
str_gundabad_rank_4|Ladrone delle colline
str_gundabad_rank_5|Saccheggiatore Montanaro
str_gundabad_rank_6|Piaga dei Nani
str_gundabad_rank_7|Condottiero su Warg
str_gundabad_rank_8|Grande Goblin
str_gundabad_rank_9|Saccheggiatore del Nord
str_dunland_rank_0|Allievo
str_dunland_rank_1|Cane
str_dunland_rank_2|Mastino della guerra
str_dunland_rank_3|Lupo
str_dunland_rank_4|Lupo Vigoroso
str_dunland_rank_5|Metalupo
str_dunland_rank_6|Grande Lupo
str_dunland_rank_7|Capobranco
str_dunland_rank_8|Capoclan
str_dunland_rank_9|Vendicatore di Freca
str_beorn_rank_0|Cucciolo della Foresta
str_beorn_rank_1|Tracciatore della foresta
str_beorn_rank_2|Cacciatore della foresta
str_beorn_rank_3|Ranger della Foresta
str_beorn_rank_4|Scudiero della foresta
str_beorn_rank_5|Ascia della foresta
str_beorn_rank_6|Orso della Foresta
str_beorn_rank_7|Grande Orso della Foresta
str_beorn_rank_8|Gigante della Foresta
str_beorn_rank_9|Eroe della Foresta
str_tld_introduction|Introduzione a TLD - Dovresti andare a Edoras.
str_tld_erebor_dungeon|L'odore di morte circonda questo posto. Farei meglio ad essere cauto.
str_tld_spear_hit|Ouch !
str_fullname_region_unknown|una regione senza nome, da qualche parte nella Terra di Mezzo
str_fullname_region_pelennor|I campi Pelennor,le pianure intorno Minas Tirith,capitale del Regno di Gondor.
str_fullname_region_subfac_pelargir|il Feudo di Lebennin, parte del Regno di Gondor
str_fullname_region_subfac_dol_amroth|Belfalas, la regione costiera nel Sud di Gondor
str_fullname_region_subfac_ethring|Ringló Vale, una valle del Regno di Gondor
str_fullname_region_subfac_lossarnach|il Feudo di Lossarnach, anche conosciuto come la Valle dei Fiori, parte del Regno di Gondor
str_fullname_region_subfac_pinnath_gelin|le verdi colline di Pinnath Gelin, una regione nel Regno di Gondor
str_fullname_region_subfac_blackroot|il Feudo di Lamedon, parte del Regno di Gondor
str_fullname_region_n_ithilien|l'Ithilien del Nord, la provincia più orientale del Regno di Gondor
str_fullname_region_c_ithilien|Emyn Arnen, una catena di colline nelle regioni centrali dell'Ithilien, attraverso il Grande Fiume da Minas Tirith
str_fullname_region_s_ithilien|l'Ithilien del Sud, la provincia più orientale del Regno di Gondor
str_fullname_region_druadan_forest|la Foresta di Drúadan, la foresta di Gondor dei Drúedain
str_fullname_region_firien_wood|Le foreste sussurranti di Firien,una foresta di querce vicino Gondor.
str_fullname_region_anorien|Anórien,la Terra del Sole,una vallata tra le Montagne Bianche e il fiume Anduin.
str_fullname_region_rohan0|il Folde,il cuore di Rohan
str_fullname_region_rohan1|Eastemnet,una parte di Rohan,Riddermark
str_fullname_region_rohan2|Westemnet,una parte di Rohan,Riddermark
str_fullname_region_rohan3|Eastfold,una parte di Rohan,Riddermark
str_fullname_region_rohan4|Westfold,una parte di Rohan,Riddermark
str_fullname_region_rohan5|La gola del Timone,una vallata delle Montagne Bianche,a Rohan
str_fullname_region_the_wold|Wold,l'area più a Nord-est della Riddermark di Rohan
str_fullname_region_gap_of_rohan|la Breccia di Rohan,la più a est dei confini di Rohan,un'area contesa da i Rohirrim e i Dunlendings.
str_fullname_region_entwash|le foci di Entwash,dove il fiume di Rohan, Entwash incontra Anduin
str_fullname_region_wetwang|Nindalf,le paludi di Wetwang
str_fullname_region_dead_marshes|le Paludi della Morte,l'antico luogo della leggendaria Battaglia di Dagor Dagorlad,adesso maledette
str_fullname_region_isengard|Le pianure circostanti Isengard
str_fullname_region_fangorn|la foresta di Fangorn,dove si dice che gli alberi parlino.
str_fullname_region_brown_lands|le Terre Marroni,che coprono il territorio tra Emyn Muil e Mirkwood
str_fullname_region_dagorlad|Dagorlad, il grande territorio privo di alberi,luogo della Battaglia della Pianura,prima delle porte di Mordor
str_fullname_region_n_undeep|l'Altopiano del Nord,il più grande dei due meandri di Anduin
str_fullname_region_s_undeep|l'Altopiano del Sud,la più piccola delle due curve principali di Anduin
str_fullname_region_emyn_muil|Emynn Muil,le montagne rocciose oltre l'affluente dell'Entwash
str_fullname_region_misty_mountains|le colline delle Montagne Nebbiose
str_fullname_region_lorien|Lothlórien,la foresta degli elfi di Sindar,dove cresce il Mallorns d'oro 
str_fullname_region_anduin_banks|la valle di Anduin,tra le Montagne Nebbiose e Mirkwood
str_fullname_region_n_mirkwood|le fitte foreste della parte più a Nord di Mirkwood,la casa degli Elfi delle Foreste
str_fullname_region_s_mirkwood|le fitte foreste della parte più a Sud di Mirkwood,che si dice siano infestate da strane creature
str_fullname_region_above_mirkwook|Northen Rhovanion,l'area tra Mirkwood e le Montagne Grigie a Nord
str_fullname_region_grey_mountains|le pendici delle Montagne Grigie,dove abitano i Nani
str_fullname_region_mordor|Mordor, l'oscuro regno di Sauron
str_shortname_region_unknown|una regione senza nome
str_shortname_region_pelennor|Campi di Pelennor
str_shortname_region_subfac_pelargir|Feudo di Lebennin
str_shortname_region_subfac_dol_amroth|Belfalas
str_shortname_region_subfac_ethring|Valle del Ringló
str_shortname_region_subfac_lossarnach|Feudo di Lossarnach
str_shortname_region_subfac_pinnath_gelin|la regione delle Pinnath Gelin
str_shortname_region_subfac_blackroot|il Feudo di Lamedon
str_shortname_region_n_ithilien|Nord Ithilien
str_shortname_region_c_ithilien|Emyn Arnen
str_shortname_region_s_ithilien|Sud Ithilien
str_shortname_region_druadan_forest|Foresta di Drúadan
str_shortname_region_firien_wood|la foresta di Firien
str_shortname_region_anorien|Anórien
str_shortname_region_rohan0|Folde
str_shortname_region_rohan1|Eastemnet
str_shortname_region_rohan2|Westemnet
str_shortname_region_rohan3|Estfalda
str_shortname_region_rohan4|Ovestfalda
str_shortname_region_rohan5|Il Fosso di Helm
str_shortname_region_the_wold|Wold
str_shortname_region_gap_of_rohan|La breccia di Rohan
str_shortname_region_entwash|le Foci di Entwash
str_shortname_region_wetwang|Nindalf
str_shortname_region_dead_marshes|le Paludi Morte
str_shortname_region_isengard|Le pianure circostanti Isengard
str_shortname_region_fangorn|Fangorn
str_shortname_region_brown_lands|Le Terre Marroni
str_shortname_region_misty_mountains|le colline delle Montagne Nebbiose
str_shortname_region_lorien_|Lorien
str_shortname_region_anduin_banks_|La Valle di Anduin
str_shortname_region_n_mirkwood_|Nord Mirkwood
str_shortname_region_s_mirkwood_|Sud Mirkwood
str_shortname_region_above_mirkwook|Rhovaniano del Nord
str_shortname_region_grey_mountains|le colline delle Montagne Grigie
str_shortname_region_mordor|La terra di Mordor
str_trait_title_elf_friend|Amico Elfo
str_trait_desc_elf_friend|Si diventato altamente stimato dagli Elfi e ora ti vedono come un fidato alleato. Il costo di reclutamento degli Elfi e ridotto e ora puoi anche provare a dare ordini alle armate elfiche.
str_trait_title_gondor_friend|Benedizione dello Steward
str_trait_desc_gondor_friend|Sei diventato altamente stimato dall'assistente Denethor e come risultato il tuo status è cresciuto tra gli uomini di Gondor.Il costo di reclutamento dei Gondoriani è stato ridotto e puoi provare a dare ordini alle armate Gondoriane.
str_trait_title_rohan_friend|Uomo del Re
str_trait_desc_rohan_friend|Sei diventato altamente stimato dal Re Theoden di Rohan e il tuo status e' cresciuto tra gli uomini di Rohan come risultato. Il costo per reclutare gli uomini di Rohirrim e' ora calato e puoi anche provare a dare ordini alle armate del Riddermark.
str_trait_title_brigand_friend|Campione Barbaro
str_trait_desc_brigand_friend|Sei diventato altamente stimato tra le tribù Barbariche servitrici di Sauron e come risultato delle tue impressive azioni nell' arena. Ora puoi reclutare Barbari ad un costo ridotto.
str_trait_title_blessed|Benedetto
str_trait_desc_blessed|Senti che sei stato benedetto da poteri che giungono dall'altra parte del mare e forse da ancora più lontano.Non sai perchè sia successo o cosa potrebbe significare,ma sei certo che sia così.
str_trait_title_reverent|Riverente
str_trait_desc_reverent|Hai acquisito una reputazione di rispetto e saggezza.Gli Uomini e gli Elfi ascoltano la tua opinione con più piacere.
str_trait_title_merciful|Misericordioso
str_trait_desc_merciful|Hai acquisito una reputazione di trattamento misericordioso presso gli uomini malvagi che servono il Nemico.Molti degli uomini temprati che ti servono sono infastiditi dal tuo comportamento e soffrono una penalità di morale.Tra i saggi,però,la tua misericordia è vista come una prova di alta considerazione e ricevi un bonus d'influenza.
str_trait_title_bravery|Coraggio
str_trait_desc_bravery|Hai acquisito una reputazione per il coraggio di affrontare grandi pericoli.Del tuo coraggio di parla sia nelle tranquille taverne che nelle sale dei saggi.Le tue gesta ispirano i tuoi uomini e ricevi un bonus di morale settimanale.
str_trait_title_oathkeeper|Custode del Giuramento
str_trait_desc_oathkeeper|Hai fatto risoluti giuramenti e sei vissuto abbastanza da vederli compiuti.Di conseguenza hai ottenuto una reputazione di uomo di parola.Ricevi un bonus d'influenza settimanale.
str_trait_title_oathbreaker|Violatore del Giuramento
str_trait_desc_oathbreaker|Hai fatto risoluti giuramenti e non sei riuscito a vederli giungere a buon fine.Di conseguenza hai acquisito una reputazione di uomo la cui passione supera il suo valore.Ricevi una penalità d'influenza settimanale.
str_trait_title_orc_pit_champion|Orco campione della fossa
str_trait_desc_orc_pit_champion|Sei diventato famoso come guerriero brutale in grado di sopravvivere alle più crudeli battaglie con gli orchi.Tanta forza è sia rispettata che temuta dai tuoi più malvagi sostenitori e ricevono un bonus di morale settimanale.
str_trait_title_despoiler|Saccheggiatore
str_trait_desc_despoiler|Hai acquisito la reputazione di portare sfrenata distruzione dovunque tu vada.Questo comportamento è tenuto in considerazione dagli oscuri poteri che servi e ricevi un bonus d'influenza settimanale.
str_trait_title_accursed|Maledetto
str_trait_desc_accursed|Senti che hai provocato la collera delle potenze aldilà del mare.I tuoi sostenitori sentono bene questa condanna e la paura vi assale.Ricevono una penalità di morale settimanale.
str_trait_title_stealthy|Silenziosamente
str_trait_desc_stealthy|Hai sviluppato una sconcertante abilità nell'arte dell'infiltrarsi silenziosamente. Ricevi un bonus per la tua silenziosità valutato quando intraprendi missioni stealth.
str_trait_title_berserker|Berserker 
str_trait_desc_berserker|Dopo tante battaglie dove hai evitato di usare un'armatura per la ferocia sei diventato come di ferro.Nelle battaglie dove sei gravemente ferito riceverai un bonus di vita una volta a battaglia.Questo non ti riporterà al pieno delle tue forze,ma potresti continuare a lottare anche quando gli altri sarebbero stati sopraffati dal dolore.
str_trait_title_infantry_captain|Capitano di Fanteria
str_trait_desc_infantry_captain|Hai sviluppato una sconcertante abilità nel comando della fanteria.Grazie al rigoroso e specializzato allenamento molte truppe riceveranno un piccolo miglioramento di vita una volta a battaglia.
str_trait_title_archer_captain|Capitano degli Arcieri
str_trait_desc_archer_captain|Hai sviluppato una sconcertante abilità nel comandare le truppe missile.Grazie al rigoroso e specializzato allenamento molte truppe riceveranno un piccolo miglioramento di vita una volta a battaglia.
str_trait_title_cavalry_captain|Capitano di Cavalleria
str_trait_desc_cavalry_captain|Hai sviluppato una sconcertante abilità nel comandare le truppe a cavallo.Grazie al rigoroso e specializzato allenamento molte truppe riceveranno un piccolo miglioramento di vita una volta a battaglia.
str_trait_title_command_voice|Comando Vocale
str_trait_desc_command_voice|La tua esperienza nel comandare gli uomini in battaglia ti ha garantito un aria di autorevolezza.Il costo dell'influenza per dare ordini alle armate in battaglia è ridotto.
str_trait_title_foe_hammer|Martello nemico
str_trait_desc_foe_hammer|Avendo ucciso molti dei grandi capitani nemici capisci di aver ottenuto una fama da spietato guerriero. Ora i soldati sotto il tuo comando ricevono un bonus morale settimanale. La tua esperienza ha anche affinato le tue abilità in battaglia.
str_trait_title_battle_scarred|Cicatrici di battaglia
str_trait_desc_battle_scarred|Hai riportato orrende ferite durante le tue campagne, ma sei ancora vivo per raccontarne la storia. Le tue membra piene di cicatrici compensano la tua abilità nel subire ferite. La gente normale potrebbe trovare il tuo aspetto orribile, ma tra coloro che ti seguono è un'affermazione della tua capacità in battaglia; essi di conseguenza, ricevono un bonus morale settimanale.
str_trait_title_fell_beast|Animale abbattuto
str_trait_desc_fell_beast|La tua pelle e' lacerata dalle cicatrici di innumerevoli battaglie e il tuo spirito e' duro ed inflessibile. Anche per lo standard degli orchi, uruk e i troll tu sei giudicato una bestia pericolosa e brutale. I tuoi servitori piangono il tuo nome di gioia quando li guidi sul campo. Tu sei la manifestazione della guerra in se e non temi praticamente nessuno.
str_wound_head|un colpo pesante alla testa
str_wound_chest|alcune costole rotte
str_wound_arm|un braccio malamente storpiato
str_wound_leg|una gamba malamente storpiata
str_gondor_gift0|Vino e Frutta Fresca
str_gondor_gift1|Tessuto riccamente tinto
str_gondor_gift2|Antichi tomi e alberi di famiglia
str_gondor_gift3|Spezie ed incenso
str_gondor_gift4|Corna da guerra di Uro
str_dwarf_gift0|Birra forte e sale di scoglio
str_dwarf_gift1|Pale ed Ascie induriti
str_dwarf_gift2|Arpe e Flauti
str_dwarf_gift3|Vesti ricamate con fili d'oro e gemme
str_dwarf_gift4|Gioielli meravigliosi
str_rohan_gift0|idromele e vino di mele
str_rohan_gift1|Tunica ricamata e cintura di borchie argentate
str_rohan_gift2|Collare dorato e corno inciso
str_rohan_gift3|Raffinata bardatura da cavallo
str_rohan_gift4|Cavalli di Rohan
str_mordor_gift0|Birra torbida e leggera
str_mordor_gift1|Olio di Snaga
str_mordor_gift2|Larva volante di Mordor
str_mordor_gift3|Ossidiana di Orodruin
str_mordor_gift4|Schiavi Contadini
str_isengard_gift0|Carne umana essiccata
str_isengard_gift1|Catene nere di ferro
str_isengard_gift2|Strumenti di Tortura
str_isengard_gift3|Vetreria da Alchimista
str_isengard_gift4|Piccolo anello di Saruman
str_lorien_gift0|Semi, Noci e Frutti di Bosco
str_lorien_gift1|Lanterna fredda e corda robusta
str_lorien_gift2|Lembas
str_lorien_gift3|Cinture argentate e Brocche
str_lorien_gift4|Mantella incappucciata
str_imladris_gift0|Pane bianco e burro d' erbe
str_imladris_gift1|Cristallerie
str_imladris_gift2|Miruvor
str_imladris_gift3|Bandiere ricamate e corna intarsiate d'argento
str_imladris_gift4|Erbe curative e pomate
str_woodelf_gift0|Morbide pelli di animale
str_woodelf_gift1|Punte e code di freccia
str_woodelf_gift2|Lance da caccia
str_woodelf_gift3|Uccelli addestrati alla preghiera
str_woodelf_gift4|Tazzine di oro rosso
str_dale_gift0|Pietre semi-preziose e perle di vetro
str_dale_gift1|Codici di racconti eroici
str_dale_gift2|Vino di Dorwinion
str_dale_gift3|Pelliccia di Lusso
str_dale_gift4|Giochi e strumenti complessi
str_harad_gift0|Fichi e Melograni
str_harad_gift1|Collana di Guerriero
str_harad_gift2|Avorio intagliato
str_harad_gift3|Vino sacro di serpente
str_harad_gift4|Statua di serpente dorata
str_rhun_gift0|Otri
str_rhun_gift1|Inchiostro per tatuaggi
str_rhun_gift2|Copricapo con Corna e ramificazioni
str_rhun_gift3|Fruste di crine
str_rhun_gift4|Carne di Cavallo e Latte
str_khand_gift0|Spezie colorate
str_khand_gift1|Rotoli di seta
str_khand_gift2|Falchi da caccia
str_khand_gift3|Lingotti di acciaio acquatico
str_khand_gift4|Maschera da guerriero sacro
str_umbar_gift0|Ostriche e sale marino
str_umbar_gift1|Pettini di ossa di balena e ami da pesca
str_umbar_gift2|Schiavi sessuali
str_umbar_gift3|Carte Nautiche dei Mari del Sud
