str_yes|Ja.
str_legendary_rumor_deadmarshes|Es gibt Gerüchte, dass in der Mitte der Totensümpfe alles Tote lebend wirkt.
str_legendary_rumor_mirkwood|Noch andere Kreaturen als Orks kriechen durch den Düsterwald.
str_legendary_rumor_fangorn|Der Fangorn ist ein Wald, den man besser meidet. Ungewöhnliche Dinge passieren dort.
str_last_rumor|Ich habe in letzter Zeit nichts Interessantes gehört.
str_ent_rumor_begin|Nicht so hastig...
str_ent_rumor_2|Lerne die Namen der lebenden Wesen! Erst nenne die vier, die freien Völker: Die ältesten aller, die Elbenkinder; Zwerg, der Schatzgräber, hausend im Dunkel; Ent, der Erdspross, alt wie die Berge; Mensch, der sterbliche, Herr der Pferde.
str_ent_rumor_3|Das alte Entisch ist eine wunderschöne Sprache, aber es braucht viel Zeit, etwas in ihr zu sagen, weil wir gar nichts in ihr sagen, es sei denn, es lohnt sich, so viel Zeit aufzuwenden, um es zu sagen und anzuhören.
str_gondor_rank_0|Gewöhnlicher von Gondor
str_gondor_rank_1|Soldat von Gondor
str_gondor_rank_2|Hauptmann von Gondor
str_gondor_rank_3|Ritter von Gondor
str_gondor_rank_4|Turmwächter von Gondor
str_gondor_rank_5|Ritter der Veste von Gondor
str_gondor_rank_6|Leibwächter des Truchsess
str_gondor_rank_7|Heermeister von Gondor
str_gondor_rank_8|Recke von Gondor
str_gondor_rank_9|Held von Gondor
str_dwarf_rank_0|Grünbart der Zwerge
str_dwarf_rank_1|Bergmann der Zwerge
str_dwarf_rank_2|Krieger der Zwerge
str_dwarf_rank_3|Langbart der Zwerge
str_dwarf_rank_4|Axt der Zwerge
str_dwarf_rank_5|Meisteraxt der Zwerge
str_dwarf_rank_6|Graubart der Zwerge
str_dwarf_rank_7|Hauptmann der Zwerge
str_dwarf_rank_8|Zwergenfürst
str_dwarf_rank_9|Held der Hallen
str_rohan_rank_0|Ceorl, Gewöhnlicher von Rohan
str_rohan_rank_1|Thain, Diener von Rohan
str_rohan_rank_2|Léod, Freier Bauer von Rohan
str_rohan_rank_3|Rohir, Reiter von Rohan
str_rohan_rank_4|Scyldbora, Schildträger von Rohan
str_rohan_rank_5|Swéordbora, Schwertträger von Rohan
str_rohan_rank_6|Frumgar, Erster Speer von Rohan
str_rohan_rank_7|Bealdoraed, Oberster Ratgeber von Rohan
str_rohan_rank_8|Eorl, Edler von Rohan
str_rohan_rank_9|Haleth, Held von Rohan
str_mordor_rank_0|Wurm
str_mordor_rank_1|Snaga
str_mordor_rank_2|Kameradenschwein von Gorgoroth
str_mordor_rank_3|Wächter von Cirith Ungol
str_mordor_rank_4|Sklaventreiber von Udûn
str_mordor_rank_5|Plünderer von Durthang
str_mordor_rank_6|Wächter vom Morannon
str_mordor_rank_7|Hauptmann von Minas Morgul
str_mordor_rank_8|Befehlshaber von Barad-dûr
str_mordor_rank_9|Geißel der Menschheit
str_isengard_rank_0|Ratte
str_isengard_rank_1|Snaga
str_isengard_rank_2|Kurbeldreher
str_isengard_rank_3|Baumbrenner
str_isengard_rank_4|Wargfütterer
str_isengard_rank_5|Eisenschmelzer
str_isengard_rank_6|Schmelzmeister
str_isengard_rank_7|Hauptmann vom Orthanc
str_isengard_rank_8|Befehlshaber der Legionen
str_isengard_rank_9|Weiße Rechte Hand des Zauberers
str_lorien_rank_0|Sador, Getreuer Loriens
str_lorien_rank_1|Tauron, Waldbewohner von Lorien
str_lorien_rank_2|Mifaron, Grauer Jäger von Lorien
str_lorien_rank_3|Thindirith, Grauer Wächter von Lorien
str_lorien_rank_4|Thangyl, Schildträger von Lorien
str_lorien_rank_5|Maglagyl, Schwertträger von Lorien
str_lorien_rank_6|Tiribrannon, Behüter von Lorien
str_lorien_rank_7|Glaurchir, Großer Meister von Lorien
str_lorien_rank_8|Galadhîr, Strahlender Fürst von Lorien
str_lorien_rank_9|Thalion, Held von Lorien
str_imladris_rank_0|Háno, Bruder von Imladris
str_imladris_rank_1|Macar, Krieger von Imladris
str_imladris_rank_2|Sindacollo, Graumantel von Imladris
str_imladris_rank_3|Luinëcollo, Blaumantel von Imladris
str_imladris_rank_4|Turmacolindo, Schildträger von Imladris
str_imladris_rank_5|Langocolindo, Schwertträger von Imladris
str_imladris_rank_6|Aráto, Recke von Imladris
str_imladris_rank_7|Hesto, Hauptmann von Imladris
str_imladris_rank_8|Runando, Erlöser von Imladris
str_imladris_rank_9|Callo, Held von Imladris
str_woodelf_rank_0|Sador, Getreuer des Grünwalds
str_woodelf_rank_1|Tauron, Waldbewohner des Grünwalds
str_woodelf_rank_2|Hirfaron, Meisterjäger des Grünwalds
str_woodelf_rank_3|Calendirith, Grünwache des Grünwalds
str_woodelf_rank_4|Thangyl, Schildträger des Grünwalds
str_woodelf_rank_5|Maglagyl, Schwertträger des Grünwalds
str_woodelf_rank_6|Tiribrannon, Behüter des Grünwalds
str_woodelf_rank_7|Pengherdir, Bogenmeister des Grünwalds
str_woodelf_rank_8|Armagor, Königlicher Schwertkämpfer des Grünwalds
str_woodelf_rank_9|Thalion, Held des Grünwalds
str_dale_rank_0|Gewöhnlicher von Thal
str_dale_rank_1|Freier Mann von Thal
str_dale_rank_2|Soldat von Thal
str_dale_rank_3|Bootsman von Thal
str_dale_rank_4|Schildträger von Thal
str_dale_rank_5|Schwertträger von Thal
str_dale_rank_6|Bardinger, Bogenschütze von Thal
str_dale_rank_7|Hauptmann von Thal
str_dale_rank_8|Seemeister von Thal
str_dale_rank_9|Held von Thal
str_harad_rank_0|Neues Stammesmitglied
str_harad_rank_1|Stammesmitglied
str_harad_rank_2|Stammeskrieger
str_harad_rank_3|Löwenschlächter
str_harad_rank_4|Schlangenbeschwörer
str_harad_rank_5|Mûmakilreiter
str_harad_rank_6|Wächter der Schwarzen Schlange
str_harad_rank_7|Hauptmann von Harondor
str_harad_rank_8|General der Großen Wüste
str_harad_rank_9|Die Goldene Schlange
str_rhun_rank_0|Steppenbewohner von Rhûn
str_rhun_rank_1|Leibeigener von Rhûn
str_rhun_rank_2|Krieger von Rhûn
str_rhun_rank_3|Bullenkrieger von Rhûn
str_rhun_rank_4|Schildträger von Rhûn
str_rhun_rank_5|Schwertträger von Rhûn
str_rhun_rank_6|Meisterreiter von Rhûn
str_rhun_rank_7|Kriegsherr von Rhûn
str_rhun_rank_8|Häuptling der Steppenvölker
str_rhun_rank_9|Rechte Hand Khamûls
str_khand_rank_0|Steppenbewohner von Khand
str_khand_rank_1|Kriegssklave von Khand
str_khand_rank_2|Krieger von Khand
str_khand_rank_3|Falkenkrieger von Khand
str_khand_rank_4|Schildträger von Khand
str_khand_rank_5|Schwertträger von Khand
str_khand_rank_6|Meisterreiter von Khand
str_khand_rank_7|Variag-Kriegsherr
str_khand_rank_8|Häuptling der Variagvölker
str_khand_rank_9|Legendärer Eroberer
str_umbar_rank_0|Landratte
str_umbar_rank_1|Schiffsjunge
str_umbar_rank_2|Seemann
str_umbar_rank_3|Harpunier
str_umbar_rank_4|Kehlenschlitzer
str_umbar_rank_5|Plünderer
str_umbar_rank_6|Segelmeister
str_umbar_rank_7|Kapitän von Umbar
str_umbar_rank_8|Befehlshaber der Flotte
str_umbar_rank_9|Großer Admiral der Meere
str_moria_rank_0|Made
str_moria_rank_1|Snaga
str_moria_rank_2|Tunnelratte
str_moria_rank_3|Höhlenstöberer
str_moria_rank_4|Minenplünderer
str_moria_rank_5|Verwüster der Hallen
str_moria_rank_6|Zwergenfluch
str_moria_rank_7|Kriegsherr der Orks
str_moria_rank_8|Häuptling der Orks
str_moria_rank_9|Schrecken aus der Tiefe
str_guldur_rank_0|Wurm
str_guldur_rank_1|Snaga
str_guldur_rank_2|Kameradenschwein von Gorgoroth
str_guldur_rank_3|Wächter von Cirith Ungol
str_guldur_rank_4|Sklaventreiber von Udûn
str_guldur_rank_5|Plünderer von Durthang
str_guldur_rank_6|Wächter vom Morannon
str_guldur_rank_7|Hauptmann von Minas Morgul
str_guldur_rank_8|Befehlshaber von Barad-dûr
str_guldur_rank_9|Geißel der Menschheit
str_gundabad_rank_0|Scheißhaufen
str_gundabad_rank_1|Snaga
str_gundabad_rank_2|Tunnelratte
str_gundabad_rank_3|Höhlenstöberer
str_gundabad_rank_4|Hügelräuber
str_gundabad_rank_5|Plünderer der Berge
str_gundabad_rank_6|Zwergenfluch
str_gundabad_rank_7|Kriegsherr der Wargreiter
str_gundabad_rank_8|Großer Ork
str_gundabad_rank_9|Verwüster des Nordens
str_dunland_rank_0|Welpe
str_dunland_rank_1|Hund
str_dunland_rank_2|Kriegshund
str_dunland_rank_3|Wolf
str_dunland_rank_4|Starker Wolf
str_dunland_rank_5|Wilder Wolf
str_dunland_rank_6|Großer Wolf
str_dunland_rank_7|Führer des Rudels
str_dunland_rank_8|Häuptling der Stämme
str_dunland_rank_9|Rächer Frecas
str_beorn_rank_0|Waldjunges
str_beorn_rank_1|Fährtensucher des Waldes
str_beorn_rank_2|Waldjäger
str_beorn_rank_3|Waldläufer
str_beorn_rank_4|Schildträger des Waldes
str_beorn_rank_5|Axtträger des Waldes
str_beorn_rank_6|Bär des Waldes
str_beorn_rank_7|Großer Bär des Waldes
str_beorn_rank_8|Hüne des Waldes
str_beorn_rank_9|Held aller Wälder
str_tld_introduction|TLD Einführung - du solltest nach Edoras gehen
str_tld_erebor_dungeon|Der Geruch von Tod schwebt hier in der Luft. Ich bin besser vorsichtig.
str_tld_spear_hit|Autsch!
str_fullname_region_unknown|in einer unbekannten Gegend, irgendwo in Mittelerde
str_fullname_region_pelennor|auf dem Pelennor, der Ebene um Minas Tirith, der Hauptstadt des Königsreichs Gondor
str_fullname_region_subfac_pelargir|im Lehen Lebennin, Teil des Königsreichs Gondor
str_fullname_region_subfac_dol_amroth|in Belfalas, der Küstenregion im Süden von Gondor
str_fullname_region_subfac_ethring|im Ringlótal, im Königreich Gondor
str_fullname_region_subfac_lossarnach|im Lehen Lossarnach, auch bekannt als das Tal der Blumen, Teil des Königreichs Gondor.
str_fullname_region_subfac_pinnath_gelin|in den grünen Hügel der Pinnath Gelin, einer Region im Königreich Gondor
str_fullname_region_subfac_blackroot|im Lehen Lamedon, Teil des Königreichs Gondor
str_fullname_region_n_ithilien|in Nord-Ithilien, der östlichsten Provinz des Königsreichs Gondor
str_fullname_region_c_ithilien|in den Emyn Arnen, einer Hügelkette in Zentral-Ithilien, gegenüber von Minas Tirith, auf der anderen Seite des Großen Stroms.
str_fullname_region_s_ithilien|in Süd-Ithilien, der östlichsten Provinz des Königsreichs Gondor
str_fullname_region_druadan_forest|im Drúadanwald, dem Wald der Drúedain in Gondor
str_fullname_region_firien_wood|im Firienwald, dem Flüsterwald, einem Eichenwald in Gondor
str_fullname_region_anorien|in Anórien, Sonnenland, ein Tal zwischen dem Weißen Gebirge und dem Anduin
str_fullname_region_rohan0|in der Folde, dem Herzland Rohans
str_fullname_region_rohan1|in der Ost-Emnet, einem Teil Rohans, der Riddermark
str_fullname_region_rohan2|in der West-Emnet, einem Teil Rohans, der Riddermark
str_fullname_region_rohan3|in der Ostfold, einem Teil Rohans, der Riddermark
str_fullname_region_rohan4|in der Westfold, einem Teil Rohans, der Riddermark
str_fullname_region_rohan5|in Helms Klamm, einem Tal im Weißen Gebirge, in Rohan
str_fullname_region_the_wold|im Wold, der nordöstlichen Gegend der Riddermark von Rohan
str_fullname_region_gap_of_rohan|in der Pforte von Rohan, der östlichsten Grenze von Rohan, einem zwischen Rohirrim und Dunländern umkämpften Land
str_fullname_region_entwash|bei den Mündungen der Entwasser, wo sich der Fluss Entwasser aus Rohan mit dem Anduin vereinigt
str_fullname_region_wetwang|im Nindalf, den Sümpfen des Fennfelds
str_fullname_region_dead_marshes|in den Totensümpfen, dem Austragungsort der großen Schlacht Dagor Dagorland, nun ein verfluchter Ort
str_fullname_region_isengard|in den Ebenen um Isengart
str_fullname_region_fangorn|im Fangorn-Wald, wo angeblich die Bäume sprechen
str_fullname_region_brown_lands|in den Braunen Landen, die die weite Fläche zwischen den Emyn Muil und dem Düsterwald bedecken
str_fullname_region_dagorlad|auf der Dagorlad, der großen, baumlosen Weite der Wallstatt, vor den Toren von Mordor
str_fullname_region_n_undeep|bei den nördlichen Untiefen, der größeren der beiden Kehrungen des Anduin
str_fullname_region_s_undeep|bei den südlichen Untiefen, der kleinen der beiden Kehrungen des Anduin
str_fullname_region_emyn_muil|in den Emyn Muil, den felsigen Hügeln über den Mündungen der Entwasser
str_fullname_region_misty_mountains|zu Füßen des Nebelgebirges
str_fullname_region_lorien|in Lothlórien, dem Wald der Sindar-Elben, wo die goldenen Mallornbäume wachsen
str_fullname_region_anduin_banks|im Tal des Anduin, zwischen den Nebelbergen und dem Düsterwald
str_fullname_region_n_mirkwood|im dichten nördlichen Düsterwald, Heimat der Waldelben
str_fullname_region_s_mirkwood|im dichten südlichen Düsterwald, in dem fremdartige Kreaturen hausen sollen
str_fullname_region_above_mirkwook|im nördlichen Rhovanion, dem Land zwischen dem Düsterwald und den Grauen Bergen im Norden
str_fullname_region_grey_mountains|zu Füßen der Grauen Berge, wo Zwerge wohnen
str_fullname_region_mordor|in Mordor, dem dunklen Reich Saurons
str_shortname_region_unknown|in einer namenlosen Gegend
str_shortname_region_pelennor|Pelennor-Felder
str_shortname_region_subfac_pelargir|Lehen von Lebennin
str_shortname_region_subfac_dol_amroth|Belfalas
str_shortname_region_subfac_ethring|Tal des Ringlo
str_shortname_region_subfac_lossarnach|Lehen von Lossarnach
str_shortname_region_subfac_pinnath_gelin|in den Pinnath Gelin
str_shortname_region_subfac_blackroot|im Lehen Lamedon
str_shortname_region_n_ithilien|in Nord-Ithilien
str_shortname_region_c_ithilien|in den Emyn Arnen
str_shortname_region_s_ithilien|in Süd-Ithilien
str_shortname_region_druadan_forest|im Drúadan-Wald
str_shortname_region_firien_wood|im Firienwald
str_shortname_region_anorien|in Anórien
str_shortname_region_rohan0|in der Folde
str_shortname_region_rohan1|in der Ostemnet
str_shortname_region_rohan2|in der Westemnet
str_shortname_region_rohan3|Ostfold
str_shortname_region_rohan4|Westfold
str_shortname_region_rohan5|Helms Klamm
str_shortname_region_the_wold|im Wold
str_shortname_region_gap_of_rohan|in der Pforte von Rohan
str_shortname_region_entwash|bei den Mündungen der Entwasser
str_shortname_region_wetwang|im Nindalf
str_shortname_region_dead_marshes|in den Totensümpfen
str_shortname_region_isengard|in den Ebenen um Isengart
str_shortname_region_fangorn|im Fangorn
str_shortname_region_brown_lands|in den Braunen Landen
str_shortname_region_misty_mountains|zu Füßen des Nebelgebirges
str_shortname_region_lorien_|in Lorien
str_shortname_region_anduin_banks_|im Tal des Anduin
str_shortname_region_n_mirkwood_|im Nördlichen Düsterwald
str_shortname_region_s_mirkwood_|im Südlichen Düsterwald
str_shortname_region_above_mirkwook|in Nord-Rhovanion
str_shortname_region_grey_mountains|zu Füßen der Grauen Berge
str_shortname_region_mordor|im Land Mordor
str_trait_title_elf_friend|Elbenfreund
str_trait_desc_elf_friend|Du wirst von den Elben hoch geschätzt und nun als treuer Verbündeter betrachtet. Die Rekrutierungskosten von Elben wurden gesenkt und du kannst nun versuchen, Elbenarmeen Befehle zu erteilen.
str_trait_title_gondor_friend|Segen des Truchsess
str_trait_desc_gondor_friend|Du wirst von Truchsess Denethor hoch geschätzt und deshalb ist dein Ansehen unter den Menschen von Gondor gestiegen. Die Rekrutierungskosten für Gondorer wurden gesenkt und du kannst nun versuchen, gondorischen Trupps Befehle zu erteilen.
str_trait_title_rohan_friend|Mann des Königs
str_trait_desc_rohan_friend|Du wirst von König Theoden von Rohan hoch geschätzt und deshalb ist dein Ansehen unter den Menschen von Rohan gestiegen. Die Rekrutierungskosten für Rohirrim wurden gesenkt und du kannst nun versuchen, rohirrischen Trupps Befehle zu erteilen.
str_trait_title_brigand_friend|Kriegsheld der Barbaren
str_trait_desc_brigand_friend|Wegen deiner beeindruckenden Vorführungen in der Arena wirst du von den Barbarenstämmen, die Sauron dienen, hoch geschätzt. Du kannst nun Barbaren zu günstigerem Preis rekrutieren.
str_trait_title_blessed|Gesegnet
str_trait_desc_blessed|Du spürst, dass du von den Mächten jenseits des Meeres gesegnet bist, und vielleicht gar von noch ferner. Du weißt nicht, warum dies passiert ist oder was es bedeutet, aber du bist dir sicher, dass es so ist.
str_trait_title_reverent|Höflich
str_trait_desc_reverent|Du hast den Ruf erworben, höflich und weise zu sein. Menschen und Elben hören nun eher auf deinen Rat.
str_trait_title_merciful|Gnadenvoll
str_trait_desc_merciful|Du hast den Ruf erworben, die schlechten Menschen, die dem Feind dienen, gnädig zu behandeln. Viele der hartgesottenen Männer, die dir folgen, verstehen das nicht und kämpfen mit geringerer Moral. Aber die Weisen betrachten deine Gnade als Beweis für deinen hohen Charakter und du erhältst einen Einflussbonus.
str_trait_title_bravery|Mut
str_trait_desc_bravery|Du hast den Ruf erworben, im Angesicht größter Gefahren besonders mutig zu sein. Sowohl in stillen Tavernen als auch in den Hallen der Weisen wird über deinen Mut gesprochen. Deine Taten inspirieren deine Männer und sie erhalten einen wöchentlichen Moralbonus.
str_trait_title_oathkeeper|Eidhalter
str_trait_desc_oathkeeper|Du hast grimmige Eide geschworen und sie erfüllt. Folglich hast du dir den Ruf erworben, ein Mann von Wort zu sein. Du erhältst einen wöchentlichen Einflussbonus.
str_trait_title_oathbreaker|Eidbrecher
str_trait_desc_oathbreaker|Du hast grimmige Eide geschworen, sie aber nicht gehalten. Folglich hast du dir den Ruf eines Mannes erworben, dessen Leidenschaften sein Können übersteigen. Du verlierst jede Woche etwas Einfluss.
str_trait_title_orc_pit_champion|Held der Orkgruben
str_trait_desc_orc_pit_champion|Du hast einen Ruf erworben als brutaler Krieger, der die grausamsten orkischen Wettkämpfe überleben konnte. Solche Stärke wird von deinem schwarzherzigen Gefolge sowohl respektiert als auch gefürchtet und sie erhalten einen wöchentlichen Moralbonus.
str_trait_title_despoiler|Verwüster
str_trait_desc_despoiler|Du hast den Ruf erworben, maßlose Verwüstung zu hinterlassen, wo immer du dich auch aufgehalten hast. Solches Verhalten wird von den dunklen Mächten, denen du dienst, hoch geschätzt und du erhältst einen wöchentlichen Einflussbonus.
